fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 013222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	700429	0.045551403977122	0.400700254970943	1029	705	8428	27790000	125
20220928 013326	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	171	TRUE	700429	0.0508340245124088	0.408590298694719	1217	764	8441	26960000	126
20220928 013425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	199	TRUE	700429	0.0430615695710608	0.405373645354239	5344	738	8357	27130000	127
20220928 013633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	482	TRUE	700429	0.0211896596181679	0.626629208113941	1751	978	8144	27400000	128
20220928 013734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	700429	0.0444985861320465	0.453674871876839	1976	739	7641	27360000	129
20220928 013824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	700429	0.044841464881866	0.703822895798122	1092	742	8642	27280000	130
20220928 013916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	700429	0.0354833160837557	0.728080034607218	2772	969	8589	27470000	131
20220928 014022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	700429	0.0450326939144048	0.421928367142459	1896	820	8622	26920000	132
20220928 014216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	348	TRUE	700429	0.0340711400495799	0.491338305757318	1940	288	9555	27370000	133
20220928 014333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	700429	0.0470584001170508	0.407127100360993	6604	390	8294	27500000	134
20220928 014544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	406	TRUE	700429	0.0183315476056575	0.558235268564961	3163	786	8896	26930000	135
